OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41412,2016,CA,NPS,YNP,MIST TRAIL,000111,2016/09/13 00:00:00+00,2016/09/13 00:00:00+00,14,,0.07945358,0.07945358,8,1,,514.764905975,81.360913786743
41413,2016,CA,NPS,YNP,MAY,000117,2016/09/20 00:00:00+00,2016/09/21 00:00:00+00,14,,0.07932107,0.07932106,8,1,,515.65196024,81.4431592690777
41414,2016,CA,NPS,YNP,HAPPY,000118,2016/09/22 00:00:00+00,2016/09/22 00:00:00+00,14,,0.07943338,0.07943338,8,1,,514.881622185,81.3718566586342
41415,2016,CA,NPS,YNP,BRIDAL,000120,2016/09/23 00:00:00+00,2016/09/24 00:00:00+00,14,,0.07945204,0.07945204,8,1,,514.707529165,81.356078502519
41416,2016,CA,NPS,YNP,FISSURE,000121,2016/09/24 00:00:00+00,2016/09/24 00:00:00+00,14,,0.07946586,0.07946587,8,1,,514.64209148,81.3498093110622
41417,2016,CA,NPS,YNP,POHONO,000126,2016/09/28 00:00:00+00,2016/09/28 00:00:00+00,14,,0.0794651,0.0794651,8,1,,514.65464422,81.3509521657216
41418,2016,CA,NPS,YNP,LUKENS,000128,2016/10/09 00:00:00+00,2016/10/14 00:00:00+00,14,,0.39621,0.39621001,8,1,,2575.66998514,182.020903399557
41419,2016,CA,NPS,YNP,WILDCAT,000134,2016/10/24 00:00:00+00,2016/10/24 00:00:00+00,1,,0.07943252,0.07943252,8,1,,514.766501095,81.3620002088311
41420,2016,CA,NPS,YNP,WASTEWATER,000040,2016/06/27 00:00:00+00,2016/06/27 00:00:00+00,14,,1.47123449,1.47123444,8,1,,9487.364697945,397.910715448942
41421,2016,CA,CCO,VNC,CRESTVIEW,010915,2016/02/07 00:00:00+00,2016/02/07 00:00:00+00,14,,2,2.03384733,1,1,,12071.745508575,734.838038016293
41422,2016,CA,CCO,VNC,LARGO,023828,2016/03/31 00:00:00+00,2016/03/31 00:00:00+00,14,,,3.21431231,1,1,,19141.039926195,724.767611510471
41423,2016,CA,CCO,VNC,EDISON,035142,2016/05/12 00:00:00+00,2016/05/13 00:00:00+00,14,,,11.22846603,1,1,,66770.155212235,1387.73354365315
41424,2016,CA,CCO,VNC,CAMBRIDGE,037965,2016/05/21 00:00:00+00,2016/05/21 00:00:00+00,14,,,1.89145827,1,1,,11244.89577863,565.131434122112
41425,2016,CA,USF,SHU,MEADOW,00000825,2016/05/20 00:00:00+00,2016/07/13 00:00:00+00,1,corrected attributes for previously submitted fire,25,26.00249481,1,1,00000825,185940.657896845,2613.02816662092
41426,2016,CA,USF,SHF,GILMAN,00001890,2016/09/15 00:00:00+00,2016/10/01 00:00:00+00,7,corrected attributes for previously submitted fire,12.5,12.53283787,1,1,00001890,88631.26485401,1446.25832172096
41427,2016,CA,USF,SHF,GILMAN,00001890,2016/09/15 00:00:00+00,2016/10/01 00:00:00+00,7,corrected attributes for previously submitted fire,12.5,12.53283787,1,1,00001890,88631.26485401,1446.25832172096
41429,2017,CA,CCO,VNC,BROOK,00042450,2017/05/23 00:00:00+00,2017/05/24 00:00:00+00,14,per walked track,10,10.04381943,1,1,,59473.666651165,1246.05578096493
41430,2017,CA,CCO,VNC,PACIFIC,00075307,2017/09/09 00:00:00+00,2017/09/09 00:00:00+00,14,Final Walked track.  Small spot to the north east,,1.19010901,1,1,,7081.3694804,561.418201917217
41431,2017,CA,CCO,VNC,GRADE,00054660,2017/07/04 00:00:00+00,2017/07/05 00:00:00+00,14, ,45.6,47.19402695,6,1,,279911.825212125,2587.25969681933
41432,2017,CA,CCO,VNC,PACIFICA,00051791,2017/06/24 00:00:00+00,2017/06/24 00:00:00+00,14,GPS track,,1.158548,1,1,,6859.664842445,501.178102293377
41433,2017,CA,CCO,VNC,MONTVIEW,00040196,2017/05/15 00:00:00+00,2017/05/15 00:00:00+00,14,Rough per description.  waiting for walked GPS tr*,1.7,2.89332652,6,1,,17133.006158845,484.388886667046
41434,2017,CA,CCO,VNC,PALMA,00089782,2017/10/21 00:00:00+00,2017/10/21 00:00:00+00,14,gps track,,1.18729067,1,1,,7047.36653917,361.794915828133
41435,2017,CA,CCO,VNC,CANYON,00059614,2017/07/19 00:00:00+00,,14,"VNC into FRA on intitial attack, Fed inc # 1924",30,30.49160385,6,1,,181885.77459417,3383.21904425762
41436,2017,CA,CCO,VNC,VISTA,00091038,2017/10/24 00:00:00+00,2017/10/26 00:00:00+00,14, ,,86.39402771,6,1,,514307.40493877,4514.56944340157
41437,2017,CA,CCO,VNC,BALDWIN,00049252,2017/06/16 00:00:00+00,2017/06/16 00:00:00+00,2,Per walked GPS track,2,2.29659486,1,1,,13691.905268705,493.231028486715
41438,2017,CA,CCO,VNC,ROLLING,00063742,2017/08/03 00:00:00+00,2017/08/03 00:00:00+00,14,Final.  Walked GPS,3,3.92358375,1,1,,23256.362425825,778.718469749684
